id,protocol,use_tls,temperature,humidity,current,client_timestamp,server_timestamp,latency_ms,payload_size_bytes,created_at
149,mqtt,f,20.22,59.31,3.76,1772146041.7657387,1772146041.7683249,2.5861263275146484,91,2026-02-26 22:47:21.768423
150,mqtt,f,24.85,58.98,1.96,1772146041.8190384,1772146041.8219612,2.9227733612060547,91,2026-02-26 22:47:21.82205
151,mqtt,f,24.52,46.39,2.2,1772146041.872905,1772146041.8758123,2.907276153564453,89,2026-02-26 22:47:21.875901
152,mqtt,f,26.56,44.78,4.3,1772146041.9265614,1772146041.9295397,2.9783248901367188,90,2026-02-26 22:47:21.929636
153,mqtt,f,25.25,42.3,4.13,1772146041.9802396,1772146041.9826894,2.4497509002685547,90,2026-02-26 22:47:21.982802
154,mqtt,f,28.58,57.87,4.12,1772146042.0334074,1772146042.0360277,2.620220184326172,91,2026-02-26 22:47:22.036109
155,mqtt,f,28.77,57.63,2.46,1772146042.0867891,1772146042.0894015,2.6123523712158203,91,2026-02-26 22:47:22.089488
156,mqtt,f,29.04,49.74,4.42,1772146042.1402252,1772146042.143008,2.7828216552734375,91,2026-02-26 22:47:22.143125
157,mqtt,f,22.05,41.53,2.17,1772146042.1937766,1772146042.1966434,2.8667449951171875,91,2026-02-26 22:47:22.196732
158,mqtt,f,27.08,42.27,1.43,1772146042.247443,1772146042.249962,2.5191307067871094,90,2026-02-26 22:47:22.250048
159,mqtt,f,23.19,57.62,2.44,1772146042.3005855,1772146042.303653,3.067493438720703,91,2026-02-26 22:47:22.303734
160,mqtt,f,22.47,55.03,2.3,1772146042.354446,1772146042.3571348,2.688884735107422,89,2026-02-26 22:47:22.357225
161,mqtt,f,21.81,53.44,3.47,1772146042.4078503,1772146042.4108078,2.957582473754883,91,2026-02-26 22:47:22.410891
162,mqtt,f,28.3,55.77,4.25,1772146042.4617455,1772146042.4642625,2.5169849395751953,90,2026-02-26 22:47:22.464345
163,mqtt,f,24.06,41.25,1.36,1772146042.5150042,1772146042.5190103,4.006147384643555,91,2026-02-26 22:47:22.51914
164,mqtt,f,21.68,59.21,1.99,1772146042.570114,1772146042.5728488,2.7348995208740234,90,2026-02-26 22:47:22.572972
165,mqtt,f,26.1,56.64,2.71,1772146042.623456,1772146042.6259832,2.5272369384765625,89,2026-02-26 22:47:22.626091
166,mqtt,f,25.69,46.18,1.6,1772146042.6766663,1772146042.6793852,2.7189254760742188,90,2026-02-26 22:47:22.679477
167,mqtt,f,24.55,44.03,2.92,1772146042.730054,1772146042.7323236,2.269744873046875,90,2026-02-26 22:47:22.732424
168,mqtt,f,28.83,53.17,1.02,1772146042.7829251,1772146042.7855759,2.650737762451172,91,2026-02-26 22:47:22.785673
